words,file
5665,S10_set1_a6.txt.clean
1694,S10_set1_a7.txt.clean
1111,S10_set1_a8.txt.clean
2470,S10_set1_a9.txt.clean
10,S10_set1_topics.txt
2005,S10_set2_a10.txt.clean
5529,S10_set2_a1.txt.clean
7480,S10_set2_a2.txt.clean
3060,S10_set2_a3.txt.clean
1507,S10_set2_a4.txt.clean
3093,S10_set2_a5.txt.clean
1376,S10_set2_a6.txt.clean
8311,S10_set2_a7.txt.clean
854,S10_set2_a8.txt.clean
6567,S10_set2_a9.txt.clean
10,S10_set2_topics.txt
8531,S10_set3_a10.txt.clean
8366,S10_set3_a1.txt.clean
9238,S10_set3_a2.txt.clean
6520,S10_set3_a3.txt.clean
4464,S10_set3_a4.txt.clean
4813,S10_set3_a5.txt.clean
5094,S10_set3_a6.txt.clean
6822,S10_set3_a7.txt.clean
8278,S10_set3_a8.txt.clean
6110,S10_set3_a9.txt.clean
10,S10_set3_topics.txt
1049,S10_set4_a10.txt.clean
8572,S10_set4_a1.txt.clean
2370,S10_set4_a2.txt.clean
10063,S10_set4_a3.txt.clean
5516,S10_set4_a4.txt.clean
941,S10_set4_a5.txt.clean
998,S10_set4_a6.txt.clean
4374,S10_set4_a7.txt.clean
1144,S10_set4_a8.txt.clean
561,S10_set4_a9.txt.clean
10,S10_set4_topics.txt
5194,S10_set5_a10.txt.clean
5575,S10_set5_a1.txt.clean
2845,S10_set5_a2.txt.clean
5102,S10_set5_a3.txt.clean
4993,S10_set5_a4.txt.clean
7148,S10_set5_a5.txt.clean
4084,S10_set5_a6.txt.clean
6367,S10_set5_a7.txt.clean
5024,S10_set5_a8.txt.clean
6576,S10_set5_a9.txt.clean
10,S10_set5_topics.txt
2698,S10_set6_a10.txt.clean
4790,S10_set6_a1.txt.clean
4660,S10_set6_a2.txt.clean
7934,S10_set6_a3.txt.clean
2482,S10_set6_a4.txt.clean
2229,S10_set6_a5.txt.clean
3964,S10_set6_a6.txt.clean
9390,S10_set6_a7.txt.clean
5980,S10_set6_a8.txt.clean
2925,S10_set6_a9.txt.clean
10,S10_set6_topics.txt
